,document_text
0,"[""According to the sources, the accident took place at around 2 a.m. at Palpara area on the Mathabhanga-Jamaldaha state highwaya when a battery operated auto-rickshaw in which the victims were travelling collided against a speeding truck.\n\n'One woman died on spot, while three others, including the minor girl, died on the way to the local primary health centre. Two injured minor boys have been shifted to the Jalpaiguri Super-Specialty Hospital and they are undergoing treatment under critical conditions,' a district police official informed.\n\nThe identities of the dead and injured, who were residents of Bhogramguri village, are yet to be ascertained.\n\nThe driver of the truck is absconding.\n\n--IANS\n\nsrc/ksk/""]"
1,"['Representational image\n\nAround 3,66,138 road accidents took place in India in 2020, causing 1,31,714 deaths. The figure was around 13 percent lower than the corresponding number for 2019, which saw 1,51,113 deaths due to road accidents in India, Minister of Road Transport and Highways Nitin Gadkari said in a written response in Lok Sabha on August 5.\n\nOne must note here, one of the reasons behind the sharp decrease in the number of road accidents in 2020 was partially due to the coronavirus pandemic outbreak, which forced the entire nation into months of strict lockdown to contain the spread of the virus. During this time, the movement of vehicles -- commercial and private -- was highly regulated.\n\nGiving further details on road accidents in India, the Road Transport Minister informed the Lok Sabha that Tamil Nadu recorded the highest number of road accidents followed by West Bengal and Karnataka.\n\nHe added that road accidents in India occur mainly due to speeding, drunken driving, driving on the wrong side, lane indiscipline, use of mobile phones while driving, mechanical defect, faulty vehicle, bad roads, bad weather, and lack of knowledge on road signage.\n\nGadkari pointed out that now road safety has been made an integral part of road design at the planning stage.\n\n""The ministry has delegated powers to regional officers of MoRTH for technical approval of the detailed estimates for rectification of identified road accident black spots,"" he said.\n\nWhile addressing the issue, Gadkari also said that his ministry has devised a multi-pronged strategy to address the road safety issues. The strategy will focus on education, road engineering, vehicle engineering, enforcement, and emergency care.\n\nTo minimise the number of road accidents, the Government of India has also imposed stricter punitive measures for violations of traffic rules under the new amended Motor Vehicles Act.']"
2,"['As many as 18 persons died and several were injured in different road accidents in Kutch, Bharuch, Aravalli , Kheda and Vadodara over three days since November 2, ahead of Kali Chaudas and Diwali festivals.\n\nAccording to police, three people died and two were injured in a road accident at Rahiyol in Dhansura of Aravalli Thursday after a car in which five of a family were travelling collided with a tempo around 10 am.\n\nThree persons died in another accident on the Ahmedabad-Vadodara expressway Thursday when a Honda city car rammed a milk truck from behind. Police are yet to ascertain the identity of the victims.\n\nJaipur, Rajasthan-native 40-year-old Mohammad Usman Khan, who owned a transport company, was killed when two trucks collided on the Gandhidham-Bhachau highway in Anjar around 4.30 am Wednesday. Police lodged a case under IPC 304A for causing death due to negligence not amounting to culpable homicide and sections of rash driving against an unknown truck driver.\n\nIn another accident, Bhagat Patel (28), a Madhya Pradesh native, died when a speeding bike on which he was riding pillion, lost control near Varsana in Anjar of Gandhidham Tuesday afternoon. A case under IPC 304A was lodged against his friend Narayan Singh who was riding the bike.\n\nA 36-year-old labourer died after being hit by a speeding truck at Samakhiyari in Gandhidham Wednesday. Police said Arvind Aherbar, an MP native, was working at a factory.\n\nIn another accident, two men, identified as Parbat Samaiyya (35) and Ramji Parmar (22), riding a motorcycle lost their lives when they were hit by an autorickshaw near Trambo cross section in Rapar of Gandhidham.\n\nA 21-year-old West Bengal youth, Habib Mandal, died after the motorcycle he was riding skidded at Padana in Gandhidham Wednesday. A 22-year-old youth, Jetshi Sodha, died after his bike was hit by a speeding Jeep near Nakhtrana of Kutch Wednesday.\n\nAdvertisement\n\nIn another accident, 54-year-old Meera Vasava, a Bharuch resident, died when an e-rickshaw she was travelling in overturned on the Bharuch-Ankleshwar service road.\n\nWednesday. In another accident, Chanchvel resident, 32-year-old Sajid Mudhia, died when his bike was hit by an unknown vehicle near his village Wednesday. Sanjay Vasava (30), a native of Nabipur village in Bharuch, was mowed down by an unknown vehicle near his village.\n\nTwo persons died and three others were injured in a road accident on the national highway at Matar in Kheda Tuesday when a speeding car hit an autorickshaw in which the victims were travelling. The deceased — Irfan Shaikh (46) and Mumtaz Banu (65) — are both Ahmedabad residents. Meanwhile, 10-12 persons were injured in a road accident Thursday in Botad when a private bus travelling from Rajkot to Bhavnagar met with an accident.']"
3,"[""ROAD ACCIDENTS IN INDIA NEWS\n\nCase Study of the week— Road Safety: 'Better Late than Never' September 14, 2022 3:08 pm The tragic death of Cyrus Mistry came days after the NCRB's report on accidental deaths was released. It is a reminder of the high numbers of fatalities that Indian roads witness every year. This case study discusses various dimensions of road safety not just for UPSC aspirants but for all 'Good Samaritans'.\n\nRoad accident in Rampur leaves six dead July 17, 2022 11:55 am The accident took place on Saturday night when the truck coming from Moradabad side collided with the bus coming from Shahjahanpur side.\n\n16 labourers dead after truck overturns in Maharashtra's Jalgaon; PM condoles incident February 15, 2021 2:52 pm All the deceased were labourers from Abhoda, Kerhala and Raver in the district, police said.\n\nOne dead, 8 injured after heavily-loaded truck rams 14 vehicles on Katraj-Dehu Road bypass October 07, 2020 1:52 pm The accident took place next to the premises of a school, near Navale Bridge, around 10.30 am. One biker, identified as Shubham Supekar (24), was killed on the spot while eight people from the other vehicles were injured, said police officials.\n\nLevel crossing accidents up 20% in 2019: NCRB September 02, 2020 4:22 am There were 1,788 level crossing accidents in 2019, up from 1,408 in 2018, according to the latest NCRB data. Last year, level-crossing accidents killed 1,762 people, while the year before they claimed 1,507 lives, the report says.\n\nTelling Numbers: Road accidents kill 400/day, 1/4th of them in UP & Tamil Nadu July 08, 2019 4:27 am The ministry also presented state-wise data. Uttar Pradesh has the highest number of deaths in road accidents in each of the three years, followed by Tamil Nadu.\n\nRoad accidents in Nagaland: 122 deaths, 956 injured in two years May 01, 2018 10:46 am Senior District Transport Officer Kohima, Yaongsanglee Chang was delivering a keynote address during a one-day workshop on Road Safety Awareness Monday.\n\n17 people died in road accidents per hour in India in 2016: Report September 06, 2017 3:19 pm Tamil Nadu, Madhya Pradesh, Karnataka, Uttar Pradesh, Andhra Pradesh, Gujarat, Telangana, Chhattisgarh, West Bengal, Haryana, Kerala, Rajasthan and Maharashtra accounted for 86 per cent of accidents.\n\nSpeeding car hits traffic cop June 23, 2017 4:55 am Two policemen, including Parikshit, signaled the car driver to stop. Parikshit was flung in the air on impact and fell on the bonnet of the car and was dragged a few metres. The constable was admitted to a hospital and discharged Thursday morning.""]"
4,"['February 26, 2023 09:09 am | Updated 10:35 pm IST - West Garo Hills (Meghalaya)\n\nA polling officer died in Meghalaya’s West Garo Hills district when the vehicle in which he was travelling overturned, Chief Electoral Officer (CEO) F.R. Kharkongor said on February 26.\n\nAccording to the CEO, the vehicle carrying polling officials enroute to Jangrapara LP School met with an accident at a remote village in West Garo Hills district on Saturday night.\n\nAlso Read | Nagaland Assembly polls | One killed, 12 injured as vehicle carrying polling personnel meets with accident\n\nThe other officials and security personnel reported minor injuries and were taken to Tikrikilla community health centre from where Chesham Ch Marak and his colleagues were referred to a hospital in Goalpara. Chesham, the second polling officer, who suffered head injuries was later taken to Guwahati where he was declared brought dead at the hospital, the CEO said.\n\nThe EVM machines were safely collected and secured by a sector magistrate and accompanied by security forces were taken to the concerned polling station.\n\n“The entire election machinery in general and West Garo Hills in particular deeply condoles the very unfortunate and untimely demise of Chesham,” Mr. Kharkongor said in a statement.\n\n“The Election Department is extending an ex-gratia compensation of Rs 15 lakh which will be paid to the next of kin,” he said.\n\nA team of over 19,000 election officials are being deputed to man 3,419 polling stations across the state. Around 119 companies of CAPFs are being deployed in the State for the elections, he said.\n\nElections to the 59 Assembly seats will be held on Monday in which over 21.6 lakh registered voters are eligible to exercise their franchise. The votes will be counted on March 2.']"
5,"['Seven people, including four members of a family, were killed on Tuesday in two separate accidents on National Highway 34 in Malda and Murshidabad districts of West Bengal, police said, adding to the growing number of fatalities in the country that has the world’s deadliest roads. The ill-fated SUV that hit a dumper in Malda’s Baishnabnagar on Tuesday.(Rahul Mandal/HT Photo)\n\nThe first accident took place near the toll plaza at 18 Mile area of Malda’s Baishnabnagar, about 300km away from Kolkata, in which five people died. The SUV in which they were travelling was moving at a high speed and hit a dumper coming from the opposite direction. Police said the dumper was in the wrong lane.\n\n”The deceased have been identified as Murli Prasad (64), Kaushalya Prasad (55), Munna Prasad (38), Pappu Prasad (30) and Sanjay Mondal (30). Sanjay was driving the car,” said an officer of Baishnabnagar police station.\n\nThe dead were residents of Bibigram area of Malda and returning after taking part in a wedding ceremony of a relative in Rampurhat of Birbhum district. The Prasads had a flourishing grocery business in Malda.\n\nLocals rushed to the spot and extracted all the five people, who were bleeding profusely, from the mangled car and rushed them to Silampur rural hospital but were pronounced dead on arrival.\n\nIn the other incident, the driver of a commercial vehicle laden with ice cream and his helper were killed after their vehicle was hit from behind by a truck carrying tea leaves near the Mehdipur toll tax gate of Murshidabad district’s Nabagram. Both the vehicles were moving at a high speed.\n\nThe officer-in-charge of Nabagram police station Subrata Sikdar said they were yet to ascertain the identity of the dead men. Both the vehicles have been seized, he added.\n\nThe preliminary investigation suggested the driver dozed off and hit the vehicle in the front.\n\nIndia witnessed 17 deaths and 55 road accidents every hour in 2016, one of the highest in the world, according to the report released by the Union road transport and highways ministry.\n\nThe report compiled by the ministry’s Transport Research Wing said road accidents killed 150,785 people across India in 2016 — a 3.3% jump from 2015 when 146,000 lakh road fatalities were reported.']"
6,"['October 28, 2012 12:00 am | Updated 04:56 am IST - HYDERABAD:\n\nA couple hailing from West Bengal died and their two daughters suffered injuries after a speeding RTC bus hit them on Tank Bund on Saturday night.\n\nParvesh, 40, and his wife Mala, 35, along with their daughters Radha and Rithvika were crossing the road from Lepakshi Bhavan on Tank Bund when the Nizambad depot RTC bus going towards Mahatma Gandhi Bus Station (MGBS) rammed into them. While Mala died on the spot, Parvesh was declared brought dead to the Gandhi hospital.\n\nRadha, 20, and Rithvika, 14, were also admitted to the Gandhi hospital where the condition of the former was critical, according to the police. Gandhinagar Inspector B. Mohan Kumar confirmed the death of the couple and added that the family might have come to the city as tourists. “We will inform the matter to the couple’s relatives after collecting more details from their daughters,” he said. Police officials said the bus driver might have failed to notice the family crossing the road and hit them.\n\nBoth the driver and conductor ran away from the spot fearing that irate passers-by would attack them. Police registered a case and further investigations are on.\n\nBoy crushed under bus\n\nA seven-year-old boy was crushed to death under the wheels of an APSRTC bus at Arkelguda village in Medchal on Saturday.\n\nHailing from Keesara in Ranga Reddy district, Lokesh Reddy, a class III student, came to his grandmother’s house in Arkelguda village for the Dasara holidays.\n\nThe boy was cycling on Medchal-Secunderabad road when the Medchal depot RTC bus hit him. Soon after the incident, passers-by tried to nab the driver but he escaped from the spot. Based on the complaint lodged by his family members, the police registered a case against the driver under Section 304A (causing death by negligence) of IPC and further investigations are on.\n\nTruck driver killed\n\nIn a separate incident, a 32-year-old driver died when the truck he was driving, fell from the bridge at Kothaguda in Hayathnagar on Saturday.\n\nY. Yadaiah of Nalgonda district died on the spot while his two friends Y. Swamy and Y. Damodar travelling in the truck suffered injuries. Police said the injured were rushed to a nearby hospital where their condition was said to be critical.']"
7,"['A 26-year-old officer was killed in an accident in the early hours of Sunday in Devanahalli, while his friend is undergoing treatment at a private hospital.\n\nThe victim has been identified as Pratul Sharma, a native of Rajasthan, while his friend is Rajiv Kumar Shaw, a resident of Ramagondanahalli near Whitefield.\n\nSharma was an IES (Indian Engineering Service) officer in the Indian Railways Store Service. He was earlier posted in West Bengal. Two months ago, he was transferred to Bengaluru and was working at the Yeshwantpur railway station.\n\nAccording to the Devanahalli traffic police, Sharma was riding a Royal Enfield bearing registration number WB-38-AY-8802. Shaw was riding pillion and the duo was headed towards Nandi Hills.\n\nSharma jumped a speed-breaker near Doddaballapura junction in Devanahalli around 3.55 am.\n\nSharma hit an SUV that was heading towards Doddaballapur from Vijayapura. Sharma lost balance, and he and Rajiv fell onto the road.\n\nUnfastened helmets\n\nThe duo was wearing helmets, but had not fastened them. Due to the impact of the fall, the helmets came off and both suffered injuries. Sharma is said to have died on the spot.\n\nA motorist who witnessed the accident alerted assistant sub-inspector Mahadevaswamy who rushed to the spot. Meanwhile, an ambulance reached the spot and rushed Rajiv to hospital. Police said Rajiv’s condition is critical.\n\n“Overspeeding and not wearing the helmet properly caused the accident. We have registered the case against both the SUV driver and Sharma. His body was handed over to the family after post-mortem,” a police officer said.']"
8,"['Cyclist killed in road accident Monojit Bhar, 57, was declared dead at the RG Kar Medical College and Hospital\n\nFile picture\n\n| Calcutta | Published 30.03.21, 01:25 AM\n\nA man riding a bicycle died and another man riding a motorbike was injured in separate accidents on Sunday. Around 10.45pm, a lorry hit cyclist Monojit Bhar, 57, of Bagmari Lane in Kankurgachi, at the CIT Road-EM Bypass crossing near Hudco. Bhar was declared dead at the RG Kar Medical College and Hospital.The lorry driver has been arrested.\n\nAdvertisement']"
9,"['KOKRAJHAR: Four persons of a family died and three others have received serious injuries at a road mishap at Nimti national highways under Kalsini police station in Alipurduar of West Bengal on Monday morning.\n\nThe family hailed from Salakati Bazar of Kokrajhar district which had met accident with a truck while on their way to Kokrajhar from Jalpaiguri.\n\nTheir vehicle bound for Kokrajhar with registration no. AS18Y-0183 met a collision with a truck early this morning.\n\nInjuries were immediately rushed to Alipurduar Hospital. Among the death,Susmita Roy was a folk singer of Koch Rajbongshi community.\n\nRajkumar Roy was a small trader at Salakati. Deceased were identified as Rajkumar Roy (45), Susmita Roy(21), daughter,Jogesh Roy(75),father and Parmila Roy(70),mother.']"
